review_id,text,sentiment,cleaned_text
1001,"  GREAT SUPPORT, EXCELLENT FEATURES, AND SUPER FAST DELIVERY! !!! ",positive,great support excellent features and super fast delivery
1002,"Horrible product, broke in just one single day.",negative,horrible product broke in just one single day
1003,Fair experience. Neither great nor too bad.,neutral,fair experience neither great nor too bad
1004,"  FANTASTIC USER EXPERIENCE, SMOOTH PERFORMANCE OVERALL. !!! ",positive,fantastic user experience smooth performance overall
1005,Defective item delivered. Returning it immediately.,negative,defective item delivered returning it immediately
1006,Decent product for this price range.,neutral,decent product for this price range
1007,  TOP NOTCH BUILD QUALITY! EXCEEDED MY EXPECTATIONS. !!! ,positive,top notch build quality exceeded my expectations
1008,  POOR QUALITY MATERIALS. DO NOT BUY THIS PRODUCT! !!! ,negative,poor quality materials do not buy this product
1009,  FAIR EXPERIENCE. NEITHER GREAT NOR TOO BAD. !!! ,neutral,fair experience neither great nor too bad
1010,"Fantastic user experience, smooth performance overall.",positive,fantastic user experience smooth performance overall
1011,"  TERRIBLE CUSTOMER SUPPORT, COMPLETE WASTE OF MONEY. !!! ",negative,terrible customer support complete waste of money
1012,"  IT WORKS FINE, BUT COULD BE IMPROVED SLIGHTLY. !!! ",neutral,it works fine but could be improved slightly
1013,Amazing results! Will definitely purchase again.,positive,amazing results will definitely purchase again
1014,Poor quality materials. Do not buy this product!,negative,poor quality materials do not buy this product
1015,Average performance. Nothing special to mention.,neutral,average performance nothing special to mention
1016,  AMAZING RESULTS! WILL DEFINITELY PURCHASE AGAIN. !!! ,positive,amazing results will definitely purchase again
1017,"Terrible customer support, complete waste of money.",negative,terrible customer support complete waste of money
1018,  AVERAGE PERFORMANCE. NOTHING SPECIAL TO MENTION. !!! ,neutral,average performance nothing special to mention
1019,"  GREAT SUPPORT, EXCELLENT FEATURES, AND SUPER FAST DELIVERY! !!! ",positive,great support excellent features and super fast delivery
1020,Poor quality materials. Do not buy this product!,negative,poor quality materials do not buy this product
1021,"It is okay, normal experience overall.",neutral,it is okay normal experience overall
1022,  AMAZING RESULTS! WILL DEFINITELY PURCHASE AGAIN. !!! ,positive,amazing results will definitely purchase again
1023,"  TERRIBLE CUSTOMER SUPPORT, COMPLETE WASTE OF MONEY. !!! ",negative,terrible customer support complete waste of money
1024,"It works fine, but could be improved slightly.",neutral,it works fine but could be improved slightly
1025,Highly recommended! Worth every single penny.,positive,highly recommended worth every single penny
1026,"Unsatisfactory experience, totally useless product.",negative,unsatisfactory experience totally useless product
1027,"  ACCEPTABLE PRODUCT, MEETS MINIMAL BASIC NEEDS. !!! ",neutral,acceptable product meets minimal basic needs
1028,"  FANTASTIC USER EXPERIENCE, SMOOTH PERFORMANCE OVERALL. !!! ",positive,fantastic user experience smooth performance overall
1029,  EXTREMELY SLOW AND BUGGY EXPERIENCE. VERY FRUSTRATING. !!! ,negative,extremely slow and buggy experience very frustrating
1030,"  IT IS OKAY, NORMAL EXPERIENCE OVERALL. !!! ",neutral,it is okay normal experience overall
1031,This product is absolute quality! Loved it completely.,positive,this product is absolute quality loved it completely
1032,"  TERRIBLE CUSTOMER SUPPORT, COMPLETE WASTE OF MONEY. !!! ",negative,terrible customer support complete waste of money
1033,Average performance. Nothing special to mention.,neutral,average performance nothing special to mention
1034,Superb performance and outstanding design.,positive,superb performance and outstanding design
1035,"  UNSATISFACTORY EXPERIENCE, TOTALLY USELESS PRODUCT. !!! ",negative,unsatisfactory experience totally useless product
1036,"  IT WORKS FINE, BUT COULD BE IMPROVED SLIGHTLY. !!! ",neutral,it works fine but could be improved slightly
1037,  THIS PRODUCT IS ABSOLUTE QUALITY! LOVED IT COMPLETELY. !!! ,positive,this product is absolute quality loved it completely
1038,  DEFECTIVE ITEM DELIVERED. RETURNING IT IMMEDIATELY. !!! ,negative,defective item delivered returning it immediately
